Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region
11/4/19,40293.85156,40483.21094,40186.28906,40301.96094,40301.96094,62600,India
11/5/19,40445.67188,40466.55078,40053.55078,40248.23047,40248.23047,45400,India
11/6/19,40311.85156,40606.91016,40037.53125,40469.78125,40469.78125,37700,India
11/7/19,40625.64063,40688.26953,40421.07031,40653.73828,40653.73828,30200,India
11/8/19,40630.55859,40749.32813,40263.94141,40323.60938,40323.60938,42600,India
11/11/19,40316.5,40417.44141,40150.96875,40345.07813,40345.07813,29500,India
11/13/19,40346.42969,40447.17188,40061.23047,40116.05859,40116.05859,37700,India
11/14/19,40178.92969,40348.60938,40026.98828,40286.48047,40286.48047,27800,India
11/15/19,40408.19922,40650.05859,40308.08984,40356.69141,40356.69141,25800,India
11/18/19,40431.07813,40542.39844,40221.96875,40284.19141,40284.19141,28700,India
11/19/19,40455.35938,40544.12891,40290.21094,40469.69922,40469.69922,39100,India
11/20/19,40729.80078,40816.37891,40575.96094,40651.64063,40651.64063,32300,India
11/21/19,40737.30859,40744.85156,40534.12109,40575.17188,40575.17188,21800,India
11/22/19,40653.17188,40653.17188,40276.82813,40359.41016,40359.41016,21700,India
11/25/19,40439.66016,40931.71094,40393.89844,40889.23047,40889.23047,28600,India
11/26/19,41022.85156,41120.28125,40710.19922,40821.30078,40821.30078,32800,India
11/27/19,40979.39063,41075.76172,40848.69922,41020.60938,41020.60938,32400,India
11/28/19,41161.53906,41163.78906,40996.07813,41130.17188,41130.17188,30900,India
11/29/19,41138.26172,41143.21875,40664.17969,40793.80859,40793.80859,46700,India
12/2/19,41072.94141,41093.98828,40707.62891,40802.17188,40802.17188,39800,India
12/3/19,40852.60938,40885.03125,40554.03906,40675.44922,40675.44922,33700,India
12/4/19,40606.01172,40886.87109,40475.82813,40850.28906,40850.28906,44500,India
12/5/19,40988.14063,41002.41016,40720.17188,40779.58984,40779.58984,33000,India
12/6/19,40952.12891,40952.12891,40337.53125,40445.14844,40445.14844,33100,India
12/9/19,40527.23828,40645.62891,40336.55859,40487.42969,40487.42969,32600,India
12/10/19,40588.80859,40588.80859,40208.69922,40239.87891,40239.87891,31400,India
12/11/19,40285.19922,40466.12891,40135.37109,40412.57031,40412.57031,55500,India
12/12/19,40561.33984,40712.64844,40490.69141,40581.71094,40581.71094,41300,India
12/13/19,40754.82031,41055.80078,40736.69922,41009.71094,41009.71094,27900,India
12/16/19,41168.85156,41185.03125,40917.92969,40938.71875,40938.71875,21600,India
12/17/19,41052.35938,41401.64844,41005.17969,41352.17188,41352.17188,19000,India
12/18/19,41442.75,41614.76953,41358.46875,41558.57031,41558.57031,24300,India
12/19/19,41571.82031,41719.28906,41456.39844,41673.92188,41673.92188,33300,India
12/20/19,41746.19922,41809.96094,41636.10938,41681.53906,41681.53906,33600,India
12/23/19,41548.26172,41701.62109,41474.60938,41642.66016,41642.66016,6200,India
12/24/19,41684.51172,41702.98047,41423.07031,41461.26172,41461.26172,4400,India
12/26/19,41543.80078,41543.80078,41132.89063,41163.76172,41163.76172,5600,India
12/27/19,41297.07813,41611.26953,41264.92188,41575.14063,41575.14063,6100,India
12/30/19,41686.26953,41714.73047,41453.37891,41558,41558,5700,India
12/31/19,41607.48828,41607.48828,41184.73047,41253.73828,41253.73828,5600,India
1/1/20,null,null,null,null,null,null,India
1/2/20,41340.26953,41649.28906,41328.44922,41626.64063,41626.64063,5300,India
1/3/20,41634.51172,41636.17969,41348.67969,41464.60938,41464.60938,8900,India
1/6/20,41378.33984,41378.33984,40613.96094,40676.62891,40676.62891,8700,India
1/7/20,40983.03906,41230.14063,40727.37109,40869.46875,40869.46875,11900,India
1/8/20,40574.82813,40866.35938,40476.55078,40817.73828,40817.73828,18200,India
1/9/20,41216.67188,41482.12109,41175.71875,41452.35156,41452.35156,7800,India
1/10/20,41568.19922,41775.10938,41447.80078,41599.71875,41599.71875,13200,India
1/13/20,41788.21094,41899.62891,41720.76172,41859.69141,41859.69141,10600,India
1/14/20,41883.08984,41994.26172,41770.89844,41952.62891,41952.62891,14100,India
1/15/20,41969.85938,41969.85938,41648.10938,41872.73047,41872.73047,6100,India
1/16/20,41924.73828,42059.44922,41812.28125,41932.55859,41932.55859,6600,India
1/17/20,41929.01953,42063.92969,41850.28906,41945.37109,41945.37109,9500,India
1/20/20,42263,42273.87109,41503.37109,41528.91016,41528.91016,7500,India
1/21/20,41487.57031,41532.58984,41294.30078,41323.80859,41323.80859,8900,India
1/22/20,41467.12891,41532.28906,41059.03906,41115.37891,41115.37891,7700,India
1/23/20,41191.5,41413.96094,41098.91016,41386.39844,41386.39844,9900,India
1/24/20,41377.03906,41697.03125,41275.60156,41613.19141,41613.19141,6600,India
1/27/20,41510.67969,41516.26953,41122.48047,41155.12109,41155.12109,7000,India
1/28/20,41299.67969,41333.25,40869.75,40966.85938,40966.85938,9800,India
1/29/20,41131.57031,41334.85938,41108.19141,41198.66016,41198.66016,7800,India
1/30/20,41380.14063,41380.14063,40829.91016,40913.82031,40913.82031,6700,India
1/31/20,41146.55859,41154.48828,40671.01172,40723.48828,40723.48828,11500,India
2/3/20,39701.01953,40014.89844,39563.07031,39872.30859,39872.30859,10600,India
2/4/20,40178.73828,40818.94141,40117.46094,40789.37891,40789.37891,15300,India
2/5/20,40921.71094,41177,40703.32031,41142.66016,41142.66016,13900,India
2/6/20,41209.12891,41405.42969,41113.10938,41306.03125,41306.03125,15000,India
2/7/20,41394.41016,41394.41016,41073.35938,41141.85156,41141.85156,15300,India
2/10/20,41166.71875,41172.05859,40798.98047,40979.62109,40979.62109,15200,India
2/11/20,41183.39063,41444.33984,41179.14063,41216.14063,41216.14063,7700,India
2/12/20,41330.85156,41671.85938,41330.85156,41565.89844,41565.89844,9600,India
2/13/20,41707.21094,41709.30078,41338.30859,41459.78906,41459.78906,9100,India
2/14/20,41510.19141,41702.35938,41183.12891,41257.73828,41257.73828,9800,India
2/17/20,41324.03906,41420.33984,41030.57813,41055.69141,41055.69141,6900,India
2/18/20,41042.46094,41042.46094,40610.94922,40894.37891,40894.37891,12300,India
2/19/20,41121.51172,41357.16016,41048.92969,41323,41323,5600,India
2/20/20,41334.96094,41399.92969,41134.30859,41170.12109,41170.12109,8400,India
2/24/20,41037.01172,41037.01172,40306.35938,40363.23047,40363.23047,8100,India
2/25/20,40497.71875,40536,40220.58984,40281.19922,40281.19922,7300,India
2/26/20,40194.89063,40255.39063,39760.39063,39888.96094,39888.96094,9000,India
2/27/20,39947.80078,39947.80078,39423.26953,39745.66016,39745.66016,9600,India
2/28/20,39087.46875,39087.46875,38219.96875,38297.28906,38297.28906,12700,India
3/2/20,38910.94922,39083.17188,37785.98828,38144.01953,38144.01953,13400,India
3/3/20,38480.89063,38754.23828,38142.30078,38623.69922,38623.69922,10600,India
3/4/20,38715.71875,38791.69922,37846.10156,38409.48047,38409.48047,15300,India
3/5/20,38604.25,38887.80078,38386.67969,38470.60938,38470.60938,13500,India
3/6/20,37613.96094,37747.07031,37011.08984,37576.62109,37576.62109,19000,India
3/9/20,36950.19922,36950.19922,35109.17969,35634.94922,35634.94922,18800,India
3/11/20,35468.89844,36021.51172,35261.92188,35697.39844,35697.39844,27900,India
3/12/20,34472.5,34472.5,32493.09961,32778.14063,32778.14063,25200,India
3/13/20,31214.13086,34769.48047,29388.9707,34103.48047,34103.48047,32600,India
3/16/20,33103.23828,33103.23828,31276.30078,31390.07031,31390.07031,18100,India
3/17/20,31611.57031,32047.98047,30394.93945,30579.08984,30579.08984,21500,India
3/18/20,30968.83984,31101.76953,28613.05078,28869.50977,28869.50977,31300,India
3/19/20,27773.35938,29370.5293,26714.46094,28288.23047,28288.23047,33200,India
3/20/20,28460.82031,30418.19922,27932.66992,29915.96094,29915.96094,32100,India
3/23/20,27608.80078,27900.83008,25880.83008,25981.24023,25981.24023,21800,India
3/24/20,27056.23047,27462.86914,25638.90039,26674.0293,26674.0293,24700,India
3/25/20,26499.81055,28790.18945,26359.91016,28535.7793,28535.7793,141500,India
3/26/20,29073.71094,30099.91016,28566.33984,29946.76953,29946.76953,35000,India
3/27/20,30747.81055,31126.0293,29346.99023,29815.58984,29815.58984,116900,India
3/30/20,29226.55078,29497.57031,28290.99023,28440.32031,28440.32031,23200,India
3/31/20,29294.93945,29770.88086,28667.35938,29468.49023,29468.49023,26400,India
4/1/20,29505.33008,29505.98047,28073.42969,28265.31055,28265.31055,18000,India
4/3/20,28623.5293,28639.11914,27500.78906,27590.94922,27590.94922,18900,India